iter	Passed	Remaining
603	761515	499271
604	762734	497983
605	764003	496728
606	765305	495494
607	766647	494285
608	767958	493057
609	769211	491790
610	770426	490500
611	771634	489206
612	772888	487941
613	774237	486735
614	775663	485578
615	777027	484380
616	778268	483106
617	779486	481818
618	780770	480571
619	782023	479304
620	783310	478059
621	784654	476847
622	785950	475607
623	787309	474404
624	788585	473151
625	789909	471926
626	791176	470667
627	792473	469427
628	793747	468172
629	795083	466953
630	796410	465729
631	797717	464493
632	798993	463239
633	800310	462008
634	801613	460769
635	802920	459533
636	804193	458276
637	805425	456996
638	806658	455718
639	807871	454427
640	809169	453185
641	810542	451984
642	811782	450709
643	813105	449480
644	814375	448222
645	815624	446951
646	816933	445714
647	818202	444455
648	819490	443206
649	820774	441955
650	822007	440676
651	823232	439393
652	824441	438102
653	825736	436857
654	827066	435630
655	828327	434366
656	829556	433086
657	830888	431860
658	832099	430570
659	833399	429327
660	834823	428146
661	836288	426987
662	837666	425782
663	838991	424549
664	840515	423417
665	841710	422119
666	842937	420836
667	844240	419592
668	845465	418309
669	846818	417089
670	848128	415848
671	849436	414605
672	850798	413389
673	852074	412131
674	853296	410846
675	854602	409602
676	856014	408408
677	857390	407197
678	858669	405939
679	859947	404681
680	861324	403469
681	862619	402218
682	864004	401009
683	865267	399743
684	866641	398528
685	868032	397321
686	869435	396118
687	870727	394864
688	871955	393582
689	873369	392383
690	874614	391108
691	875824	389817
692	877048	388533
693	878344	387281
694	879628	386023
695	880935	384776
696	882192	383506
697	883426	382227
698	884655	380946
699	885863	379655
700	887112	378383
701	888347	377104
702	889632	375847
703	890972	374613
704	892779	373574
705	894181	372364
706	895474	371108
707	896684	369819
708	898028	368584
709	899377	367351
710	900754	366129
711	902081	364886
712	903442	363657
713	904717	362393
714	906032	361145
715	907336	359893
716	908643	358641
717	909891	357366
718	911199	356115
719	912491	354857
720	913931	353657
721	915258	352412
722	916479	351127
723	917739	349856
724	918969	348574
725	920171	347282
726	921362	345986
727	922567	344695
728	923777	343407
729	924994	342121
730	926176	340822
731	927376	339531
732	928578	338240
733	929796	336956
734	931007	335669
735	932221	334383
736	933436	333098
737	934691	331828
738	935933	330552
739	937144	329267
740	938343	327976
741	939548	326689
742	940829	325428
743	942091	324160
744	943309	322877
745	944699	321653
746	946185	320461
747	947575	319236
748	949095	318054
749	950981	316993
750	952646	315857
751	954065	314638
752	955539	313437
753	956982	312224
754	958395	311002
755	959847	309792
756	961407	308615
757	962789	307381
758	964350	306203
759	965923	305028
760	967380	303815
761	968847	302605
762	970405	301423
763	971765	300178
764	973160	298944
765	974551	297709
766	975979	296483
767	977579	295310
768	978916	294056
769	980258	292804
770	981579	291545
771	982961	290304
772	984328	289058
773	985624	287792
774	986884	286514
775	988157	285241
776	989456	283975
777	990793	282719
778	992125	281463
779	993478	280211
780	994758	278940
781	996084	277680
782	997338	276401
783	998640	275135
784	999902	273858
785	1001172	272583
786	1002448	271310
787	1004118	270143
788	1005783	268973
789	1007580	267837
790	1008829	266555
791	1010087	265275
792	1011487	264032
793	1012774	262760
794	1014051	261485
795	1015406	260229
796	1016711	258961
797	1017976	257683
798	1019255	256408
799	1020487	255121
800	1021734	253839
801	1023127	252592
802	1024357	251305
803	1025756	250060
804	1027126	248806
805	1028437	247539
806	1029688	246257
807	1030944	244976
808	1032235	243704
809	1033576	242443
810	1035016	241205
811	1036356	239944
812	1037619	238665
813	1038972	237406
814	1040310	236144
815	1041574	234864
816	1043119	233648
817	1044406	232374
818	1045789	231120
819	1047268	229888
820	1048523	228606
821	1049859	227341
822	1051191	226076
823	1052510	224808
824	1053970	223569
825	1055278	222298
826	1056884	221089
827	1058169	219813
828	1059405	218526
829	1060717	217255
830	1062011	215980
831	1063419	214728
832	1064759	213463
833	1066094	212196
834	1067558	210954
835	1068988	209705
836	1070454	208463
837	1071908	207218
838	1073256	205952
839	1074741	204712
840	1076080	203444
841	1077374	202167
842	1078835	200921
843	1080238	199664
844	1081552	198391
845	1082856	197115
846	1084227	195852
847	1085669	194601
848	1087011	193331
849	1088555	192097
850	1089810	190812
851	1091267	189562
852	1092634	188296
853	1094031	187035
854	1095359	185762
855	1096725	184495
856	1098115	183232
857	1099447	181959
858	1100834	180695
859	1102298	179443
860	1103817	178200
861	1105115	176921
862	1106453	175647
863	1107816	174378
864	1109130	173101
865	1110507	171833
866	1111812	170554
867	1113098	169273
868	1114394	167992
869	1115733	166718
870	1117388	165491
871	1118833	164232
872	1120197	162961
873	1121553	161688
874	1123015	160430
875	1124429	159165
876	1125868	157904
877	1127241	156632
878	1128521	155348
879	1129776	154060
880	1131036	152773
881	1132259	151481
882	1133491	150190
883	1134741	148902
884	1136151	147635
885	1137495	146359
886	1138871	145087
887	1140265	143817
888	1141671	142548
889	1142964	141265
890	1144294	139986
891	1145609	138706
892	1147432	137486
893	1148765	136207
894	1150133	134931
895	1151438	133649
896	1152825	132375
897	1154153	131095
898	1155446	129811
899	1156701	128522
900	1157939	127231
901	1159197	125943
902	1160624	124673
903	1161975	123395
904	1163321	122116
905	1164619	120832
906	1165866	119543
907	1167152	118257
908	1168439	116972
909	1169690	115683
910	1170976	114398
911	1172361	113122
912	1173660	111838
913	1174885	110547
914	1176135	109258
915	1177456	107976
916	1178733	106690
917	1180016	105404
918	1181289	104118
919	1182589	102833
920	1183889	101549
921	1185212	100267
922	1186536	98985
923	1187861	97702
924	1189239	96424
925	1190820	95162
926	1192236	93887
927	1193754	92618
928	1195309	91353
929	1196765	90079
930	1198032	88790
931	1199307	87503
932	1200642	86219
933	1201953	84934
934	1203240	83647
935	1204499	82358
936	1205746	81069
937	1207002	79780
938	1208254	78491
939	1209525	77203
940	1210774	75914
941	1212066	74628
942	1213340	73340
943	1214596	72052
944	1215854	70764
945	1217122	69476
946	1218366	68187
947	1219602	66898
948	1220822	65607
949	1222051	64318
950	1223309	63030
951	1224522	61740
952	1225828	60455
953	1227229	59174
954	1228726	57898
955	1230118	56616
956	1231469	55332
957	1232728	54044
958	1233983	52756
959	1235363	51473
960	1236807	50193
961	1238183	48909
962	1239757	47633
963	1241010	46344
964	1242532	45065
965	1243836	43778
966	1245347	42498
967	1246617	41210
968	1247940	39923
969	1249192	38634
970	1250470	37346
971	1251713	36057
972	1252979	34769
973	1254243	33480
974	1255530	32193
975	1256770	30904
976	1258002	29615
977	1259266	28327
978	1260510	27038
979	1261737	25749
980	1263002	24461
981	1264256	23173
982	1265493	21885
983	1266748	20597
984	1267982	19309
985	1269285	18022
986	1270669	16736
987	1271965	15448
988	1273265	14161
989	1274506	12873
990	1275765	11586
991	1277022	10298
992	1278285	9011
993	1279549	7723
994	1280807	6436
995	1282063	5148
996	1283298	3861
997	1284597	2574
998	1285987	1287
999	1287339	0
